table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,AIRecommendationLog,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AIRecommendationLog,2,CustomerId,uuid,uuid,YES,,,,
public,AIRecommendationLog,3,NightMarketId,uuid,uuid,YES,,,,
public,AIRecommendationLog,4,RecommendationType,character varying,varchar,NO,,30,,
public,AIRecommendationLog,5,InputJson,jsonb,jsonb,NO,,,,
public,AIRecommendationLog,6,ParsedIntentJson,jsonb,jsonb,YES,,,,
public,AIRecommendationLog,7,ResultJson,jsonb,jsonb,NO,,,,
public,AIRecommendationLog,8,SelectedOptionId,character varying,varchar,YES,,100,,
public,AIRecommendationLog,9,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AIRecommendationLog,10,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlan,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiMealPlan,2,SessionId,uuid,uuid,NO,,,,
public,AiMealPlan,3,MarketId,uuid,uuid,NO,,,,
public,AiMealPlan,4,PlanCode,character varying,varchar,NO,,50,,
public,AiMealPlan,5,PlanTitle,character varying,varchar,NO,,200,,
public,AiMealPlan,6,Strategy,character varying,varchar,NO,,100,,
public,AiMealPlan,7,TotalPrice,numeric,numeric,NO,,,12,2
public,AiMealPlan,8,RemainingBudget,numeric,numeric,NO,,,12,2
public,AiMealPlan,9,DistanceMeters,integer,int4,YES,,,32,0
public,AiMealPlan,10,EstimatedTravelMinutes,integer,int4,YES,,,32,0
public,AiMealPlan,11,EstimatedServingCount,integer,int4,YES,,,32,0
public,AiMealPlan,12,CompatibilityScore,numeric,numeric,NO,,,5,2
public,AiMealPlan,13,IsComplete,boolean,bool,NO,,,,
public,AiMealPlan,14,Version,integer,int4,NO,,,32,0
public,AiMealPlan,15,Status,character varying,varchar,NO,,20,,
public,AiMealPlan,16,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlan,17,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlan,18,Summary,character varying,varchar,YES,,1000,,
public,AiMealPlan,19,WarningsJson,jsonb,jsonb,YES,,,,
public,AiMealPlanCartOperation,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiMealPlanCartOperation,2,CustomerId,uuid,uuid,NO,,,,
public,AiMealPlanCartOperation,3,PlanId,uuid,uuid,NO,,,,
public,AiMealPlanCartOperation,4,PlanVersion,integer,int4,NO,,,32,0
public,AiMealPlanCartOperation,5,IdempotencyKey,character varying,varchar,NO,,100,,
public,AiMealPlanCartOperation,6,RequestHash,character varying,varchar,NO,,64,,
public,AiMealPlanCartOperation,7,ResponseJson,jsonb,jsonb,NO,,,,
public,AiMealPlanCartOperation,8,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlanItem,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiMealPlanItem,2,PlanId,uuid,uuid,NO,,,,
public,AiMealPlanItem,3,FoodItemId,uuid,uuid,YES,,,,
public,AiMealPlanItem,4,BoothId,uuid,uuid,YES,,,,
public,AiMealPlanItem,5,FoodNameSnapshot,character varying,varchar,NO,,200,,
public,AiMealPlanItem,6,BoothNameSnapshot,character varying,varchar,NO,,200,,
public,AiMealPlanItem,7,Course,character varying,varchar,NO,,30,,
public,AiMealPlanItem,8,Quantity,integer,int4,NO,,,32,0
public,AiMealPlanItem,9,UnitPriceSnapshot,numeric,numeric,NO,,,12,2
public,AiMealPlanItem,10,TotalPriceSnapshot,numeric,numeric,NO,,,12,2
public,AiMealPlanItem,11,ServingCountSnapshot,integer,int4,YES,,,32,0
public,AiMealPlanItem,12,CompatibilityScore,numeric,numeric,NO,,,5,2
public,AiMealPlanItem,13,Reason,character varying,varchar,NO,,1000,,
public,AiMealPlanItem,14,SortOrder,integer,int4,NO,,,32,0
public,AiMealPlanItem,15,IsRemoved,boolean,bool,NO,,,,
public,AiMealPlanItem,16,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlanItem,17,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlanItem,18,ImageUrlSnapshot,character varying,varchar,YES,,2000,,
public,AiMealPlanItem,19,RatingSnapshot,numeric,numeric,YES,,,3,2
public,AiMealPlanItem,20,ReviewCountSnapshot,integer,int4,NO,0,,32,0
public,AiMealPlanSession,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiMealPlanSession,2,CustomerId,uuid,uuid,YES,,,,
public,AiMealPlanSession,3,PartySize,integer,int4,NO,,,32,0
public,AiMealPlanSession,4,Budget,numeric,numeric,NO,,,12,2
public,AiMealPlanSession,5,DiningStyle,character varying,varchar,NO,,100,,
public,AiMealPlanSession,6,OriginalRequest,character varying,varchar,YES,,4000,,
public,AiMealPlanSession,7,ParsedPreferenceJson,jsonb,jsonb,YES,,,,
public,AiMealPlanSession,8,Latitude,numeric,numeric,YES,,,10,7
public,AiMealPlanSession,9,Longitude,numeric,numeric,YES,,,10,7
public,AiMealPlanSession,10,MaxDistanceMeters,integer,int4,YES,,,32,0
public,AiMealPlanSession,11,Status,character varying,varchar,NO,,20,,
public,AiMealPlanSession,12,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiMealPlanSession,13,ExpiresAt,timestamp with time zone,timestamptz,NO,,,,
public,AiMealPlanSession,14,IdempotencyKey,character varying,varchar,YES,,100,,
public,AiMealPlanSession,15,RequestHash,character varying,varchar,YES,,64,,
public,AiMealPlanSession,16,UsedProviderFallback,boolean,bool,NO,false,,,
public,AiMealPlanSession,17,WarningsJson,jsonb,jsonb,YES,,,,
public,AiRecommendationFeedback,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiRecommendationFeedback,2,SessionId,uuid,uuid,NO,,,,
public,AiRecommendationFeedback,3,FoodItemId,uuid,uuid,YES,,,,
public,AiRecommendationFeedback,4,Action,character varying,varchar,NO,,30,,
public,AiRecommendationFeedback,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiRecommendationResult,1,SessionId,uuid,uuid,NO,,,,
public,AiRecommendationResult,2,FoodItemId,uuid,uuid,NO,,,,
public,AiRecommendationResult,3,Rank,integer,int4,NO,,,32,0
public,AiRecommendationResult,4,Score,numeric,numeric,NO,,,5,2
public,AiRecommendationResult,5,MatchTier,character varying,varchar,NO,,20,,
public,AiRecommendationResult,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiRecommendationSession,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,AiRecommendationSession,2,CustomerId,uuid,uuid,YES,,,,
public,AiRecommendationSession,3,OriginalQuery,character varying,varchar,NO,,4000,,
public,AiRecommendationSession,4,ParsedPreferenceJson,jsonb,jsonb,YES,,,,
public,AiRecommendationSession,5,Latitude,numeric,numeric,YES,,,10,7
public,AiRecommendationSession,6,Longitude,numeric,numeric,YES,,,10,7
public,AiRecommendationSession,7,MaxDistanceMeters,integer,int4,YES,,,32,0
public,AiRecommendationSession,8,Status,character varying,varchar,NO,,20,,
public,AiRecommendationSession,9,ProviderName,character varying,varchar,YES,,100,,
public,AiRecommendationSession,10,UsedFallback,boolean,bool,NO,,,,
public,AiRecommendationSession,11,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,AiRecommendationSession,12,ExpiresAt,timestamp with time zone,timestamptz,NO,,,,
public,AiRecommendationSession,13,ProviderFailureCategory,character varying,varchar,YES,,50,,
public,AiRecommendationSession,14,ProviderModelName,character varying,varchar,YES,,100,,
public,AiRecommendationSession,15,ProviderRequestId,character varying,varchar,YES,,200,,
public,Allergen,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Allergen,2,Code,character varying,varchar,NO,,100,,
public,Allergen,3,Name,character varying,varchar,NO,,200,,
public,Allergen,4,IsSystem,boolean,bool,NO,false,,,
public,Allergen,5,IsActive,boolean,bool,NO,true,,,
public,Allergen,6,DisplayOrder,integer,int4,NO,0,,32,0
public,Allergen,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Allergen,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,Booth,2,RegistrationId,uuid,uuid,YES,,,,
public,Booth,3,NightMarketId,uuid,uuid,NO,,,,
public,Booth,4,BoothOwnerId,uuid,uuid,NO,,,,
public,Booth,5,ZoneId,uuid,uuid,YES,,,,
public,Booth,6,BoothName,character varying,varchar,NO,,200,,
public,Booth,7,BoothCode,character varying,varchar,YES,,50,,
public,Booth,8,Description,text,text,YES,,,,
public,Booth,9,PhoneNumber,character varying,varchar,YES,,20,,
public,Booth,10,SlotNumber,text,text,YES,,,,
public,Booth,11,ThumbnailUrl,character varying,varchar,YES,,500,,
public,Booth,12,MapPositionX,numeric,numeric,YES,,,10,2
public,Booth,13,MapPositionY,numeric,numeric,YES,,,10,2
public,Booth,14,Latitude,numeric,numeric,YES,,,10,7
public,Booth,15,Longitude,numeric,numeric,YES,,,10,7
public,Booth,16,OpenTime,time without time zone,time,YES,,,,
public,Booth,17,CloseTime,time without time zone,time,YES,,,,
public,Booth,18,AverageRating,numeric,numeric,YES,0,,3,2
public,Booth,19,IsFeatured,boolean,bool,NO,false,,,
public,Booth,20,PackageName,character varying,varchar,YES,,100,,
public,Booth,21,PackageExpiryDate,timestamp with time zone,timestamptz,YES,,,,
public,Booth,22,PaymentQRImage,text,text,YES,,,,
public,Booth,23,Status,character varying,varchar,NO,,20,,
public,Booth,24,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,25,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,Booth,26,LogoUrl,character varying,varchar,YES,,500,,
public,BoothDocuments,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothDocuments,2,RegistrationId,uuid,uuid,YES,,,,
public,BoothDocuments,3,DocumentType,text,text,NO,,,,
public,BoothDocuments,4,DocumentUrl,text,text,NO,,,,
public,BoothDocuments,5,FileUrl,character varying,varchar,NO,,500,,
public,BoothDocuments,6,VerificationStatus,character varying,varchar,NO,'PendingReview'::character varying,20,,
public,BoothDocuments,7,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothDocuments,8,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothDocuments,9,BoothId,uuid,uuid,YES,,,,
public,BoothImages,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothImages,2,BoothId,uuid,uuid,NO,,,,
public,BoothImages,3,ImageUrl,character varying,varchar,NO,,500,,
public,BoothImages,4,DisplayOrder,integer,int4,NO,0,,32,0
public,BoothImages,5,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothImages,6,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothLocations,2,BoothId,uuid,uuid,NO,,,,
public,BoothLocations,3,LayoutId,uuid,uuid,NO,,,,
public,BoothLocations,4,XCoordinate,numeric,numeric,NO,,,10,2
public,BoothLocations,5,YCoordinate,numeric,numeric,NO,,,10,2
public,BoothLocations,6,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,7,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothLocations,8,IsDeleted,boolean,bool,NO,false,,,
public,BoothLocations,9,LayoutNodeId,uuid,uuid,NO,,,,
public,BoothLocations,10,ReleasedAt,timestamp with time zone,timestamptz,YES,,,,
public,BoothLocations,11,SlotNumber,character varying,varchar,YES,,50,,
public,BoothLocations,12,ZoneId,uuid,uuid,YES,,,,
public,BoothPaymentInfos,1,Id,uuid,uuid,NO,uuid_generate_v4(),,,
public,BoothPaymentInfos,2,BoothId,uuid,uuid,NO,,,,
public,BoothPaymentInfos,3,PaymentType,integer,int4,NO,,,32,0
public,BoothPaymentInfos,4,BankName,character varying,varchar,YES,,100,,
public,BoothPaymentInfos,5,BankAccountNumber,character varying,varchar,YES,,50,,
public,BoothPaymentInfos,6,BankAccountHolder,character varying,varchar,YES,,150,,
public,BoothPaymentInfos,7,QRImageUrl,character varying,varchar,YES,,500,,
public,BoothPaymentInfos,8,IsDefault,boolean,bool,NO,false,,,
public,BoothPaymentInfos,9,Status,character varying,varchar,NO,'Draft'::character varying,20,,
public,BoothPaymentInfos,10,CreatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothPaymentInfos,11,UpdatedAt,timestamp with time zone,timestamptz,NO,now(),,,
public,BoothRegistrations,1,Id,uuid,uuid,NO,,,,
public,BoothRegistrations,2,OwnerId,uuid,uuid,NO,,,,
public,BoothRegistrations,3,RequestedNightMarketId,uuid,uuid,NO,,,,
public,BoothRegistrations,4,PreferredZoneId,uuid,uuid,YES,,,,
public,BoothRegistrations,5,PreferredLayoutNodeId,uuid,uuid,YES,,,,
public,BoothRegistrations,6,BoothName,text,text,NO,,,,
public,BoothRegistrations,7,Description,text,text,YES,,,,
public,BoothRegistrations,8,Phone,text,text,YES,,,,
public,BoothRegistrations,9,Status,integer,int4,NO,,,32,0
public,BoothRegistrations,10,RejectReason,text,text,YES,,,,
public,BoothRegistrations,11,CreatedAt,timestamp with time zone,timestamptz,NO,,,,
