schema_name,table_name,constraint_name,constraint_type,definition
public,AIRecommendationLog,AIRecommendationLog_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,AIRecommendationLog,AIRecommendationLog_CustomerId_fkey,f,"FOREIGN KEY (""CustomerId"") REFERENCES ""User""(""Id"") ON DELETE SET NULL"
public,AIRecommendationLog,AIRecommendationLog_Id_not_null,n,"NOT NULL ""Id"""
public,AIRecommendationLog,AIRecommendationLog_InputJson_not_null,n,"NOT NULL ""InputJson"""
public,AIRecommendationLog,AIRecommendationLog_NightMarketId_fkey,f,"FOREIGN KEY (""NightMarketId"") REFERENCES ""NightMarket""(""Id"") ON DELETE SET NULL"
public,AIRecommendationLog,AIRecommendationLog_RecommendationType_not_null,n,"NOT NULL ""RecommendationType"""
public,AIRecommendationLog,AIRecommendationLog_ResultJson_not_null,n,"NOT NULL ""ResultJson"""
public,AIRecommendationLog,AIRecommendationLog_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,AIRecommendationLog,AIRecommendationLog_pkey,p,"PRIMARY KEY (""Id"")"
public,Booth,Booth_BoothName_not_null,n,"NOT NULL ""BoothName"""
public,Booth,Booth_BoothOwnerId_fkey,f,"FOREIGN KEY (""BoothOwnerId"") REFERENCES ""User""(""Id"")"
public,Booth,Booth_BoothOwnerId_not_null,n,"NOT NULL ""BoothOwnerId"""
public,Booth,Booth_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,Booth,Booth_Id_not_null,n,"NOT NULL ""Id"""
public,Booth,Booth_IsFeatured_not_null,n,"NOT NULL ""IsFeatured"""
public,Booth,Booth_NightMarketId_fkey,f,"FOREIGN KEY (""NightMarketId"") REFERENCES ""NightMarket""(""Id"") ON DELETE CASCADE"
public,Booth,Booth_NightMarketId_not_null,n,"NOT NULL ""NightMarketId"""
public,Booth,Booth_RegistrationId_fkey,f,"FOREIGN KEY (""RegistrationId"") REFERENCES ""BoothRegistrations""(""Id"")"
public,Booth,Booth_Status_not_null,n,"NOT NULL ""Status"""
public,Booth,Booth_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,Booth,Booth_pkey,p,"PRIMARY KEY (""Id"")"
public,Booth,FK_Booth_Zones_ZoneId,f,"FOREIGN KEY (""ZoneId"") REFERENCES ""Zones""(""Id"")"
public,BoothDocuments,BoothDocuments_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothDocuments,BoothDocuments_DocumentType_not_null,n,"NOT NULL ""DocumentType"""
public,BoothDocuments,BoothDocuments_DocumentUrl_not_null,n,"NOT NULL ""DocumentUrl"""
public,BoothDocuments,BoothDocuments_FileUrl_not_null,n,"NOT NULL ""FileUrl"""
public,BoothDocuments,BoothDocuments_Id_not_null,n,"NOT NULL ""Id"""
public,BoothDocuments,BoothDocuments_RegistrationId_fkey,f,"FOREIGN KEY (""RegistrationId"") REFERENCES ""BoothRegistrations""(""Id"") ON DELETE CASCADE"
public,BoothDocuments,BoothDocuments_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothDocuments,BoothDocuments_VerificationStatus_not_null,n,"NOT NULL ""VerificationStatus"""
public,BoothDocuments,BoothDocuments_pkey,p,"PRIMARY KEY (""Id"")"
public,BoothDocuments,FK_BoothDocuments_Booth_BoothId,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"") ON DELETE SET NULL"
public,BoothImages,BoothImages_BoothId_fkey,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"") ON DELETE CASCADE"
public,BoothImages,BoothImages_BoothId_not_null,n,"NOT NULL ""BoothId"""
public,BoothImages,BoothImages_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothImages,BoothImages_DisplayOrder_not_null,n,"NOT NULL ""DisplayOrder"""
public,BoothImages,BoothImages_Id_not_null,n,"NOT NULL ""Id"""
public,BoothImages,BoothImages_ImageUrl_not_null,n,"NOT NULL ""ImageUrl"""
public,BoothImages,BoothImages_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothImages,BoothImages_pkey,p,"PRIMARY KEY (""Id"")"
public,BoothLocations,BoothLocations_BoothId_fkey,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"") ON DELETE CASCADE"
public,BoothLocations,BoothLocations_BoothId_not_null,n,"NOT NULL ""BoothId"""
public,BoothLocations,BoothLocations_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothLocations,BoothLocations_Id_not_null,n,"NOT NULL ""Id"""
public,BoothLocations,BoothLocations_IsDeleted_not_null,n,"NOT NULL ""IsDeleted"""
public,BoothLocations,BoothLocations_LayoutId_fkey,f,"FOREIGN KEY (""LayoutId"") REFERENCES ""MarketLayouts""(""Id"") ON DELETE CASCADE"
public,BoothLocations,BoothLocations_LayoutId_not_null,n,"NOT NULL ""LayoutId"""
public,BoothLocations,BoothLocations_LayoutNodeId_fkey,f,"FOREIGN KEY (""LayoutNodeId"") REFERENCES ""LayoutNodes""(""Id"") ON DELETE RESTRICT"
public,BoothLocations,BoothLocations_LayoutNodeId_not_null,n,"NOT NULL ""LayoutNodeId"""
public,BoothLocations,BoothLocations_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothLocations,BoothLocations_XCoordinate_not_null,n,"NOT NULL ""XCoordinate"""
public,BoothLocations,BoothLocations_YCoordinate_not_null,n,"NOT NULL ""YCoordinate"""
public,BoothLocations,BoothLocations_ZoneId_fkey,f,"FOREIGN KEY (""ZoneId"") REFERENCES ""Zones""(""Id"") ON DELETE SET NULL"
public,BoothLocations,BoothLocations_pkey,p,"PRIMARY KEY (""Id"")"
public,BoothPaymentInfos,BoothPaymentInfos_BoothId_fkey,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"") ON DELETE CASCADE"
public,BoothPaymentInfos,BoothPaymentInfos_BoothId_not_null,n,"NOT NULL ""BoothId"""
public,BoothPaymentInfos,BoothPaymentInfos_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothPaymentInfos,BoothPaymentInfos_Id_not_null,n,"NOT NULL ""Id"""
public,BoothPaymentInfos,BoothPaymentInfos_IsDefault_not_null,n,"NOT NULL ""IsDefault"""
public,BoothPaymentInfos,BoothPaymentInfos_PaymentType_not_null,n,"NOT NULL ""PaymentType"""
public,BoothPaymentInfos,BoothPaymentInfos_Status_not_null,n,"NOT NULL ""Status"""
public,BoothPaymentInfos,BoothPaymentInfos_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothPaymentInfos,BoothPaymentInfos_pkey,p,"PRIMARY KEY (""Id"")"
public,BoothRegistrations,BoothRegistrations_BoothName_not_null,n,"NOT NULL ""BoothName"""
public,BoothRegistrations,BoothRegistrations_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothRegistrations,BoothRegistrations_Id_not_null,n,"NOT NULL ""Id"""
public,BoothRegistrations,BoothRegistrations_OwnerId_not_null,n,"NOT NULL ""OwnerId"""
public,BoothRegistrations,BoothRegistrations_RequestedNightMarketId_not_null,n,"NOT NULL ""RequestedNightMarketId"""
public,BoothRegistrations,BoothRegistrations_Status_not_null,n,"NOT NULL ""Status"""
public,BoothRegistrations,BoothRegistrations_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothRegistrations,FK_BoothRegistrations_Booth_BoothId,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"")"
public,BoothRegistrations,FK_BoothRegistrations_LayoutNodes_PreferredLayoutNodeId,f,"FOREIGN KEY (""PreferredLayoutNodeId"") REFERENCES ""LayoutNodes""(""Id"")"
public,BoothRegistrations,FK_BoothRegistrations_NightMarket_RequestedNightMarketId,f,"FOREIGN KEY (""RequestedNightMarketId"") REFERENCES ""NightMarket""(""Id"") ON DELETE CASCADE"
public,BoothRegistrations,FK_BoothRegistrations_User_OwnerId,f,"FOREIGN KEY (""OwnerId"") REFERENCES ""User""(""Id"") ON DELETE CASCADE"
public,BoothRegistrations,FK_BoothRegistrations_Zones_PreferredZoneId,f,"FOREIGN KEY (""PreferredZoneId"") REFERENCES ""Zones""(""Id"")"
public,BoothRegistrations,PK_BoothRegistrations,p,"PRIMARY KEY (""Id"")"
public,BoothSubscriptions,BoothSubscriptions_BoothId_fkey,f,"FOREIGN KEY (""BoothId"") REFERENCES ""Booth""(""Id"") ON DELETE CASCADE"
public,BoothSubscriptions,BoothSubscriptions_BoothId_not_null,n,"NOT NULL ""BoothId"""
public,BoothSubscriptions,BoothSubscriptions_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,BoothSubscriptions,BoothSubscriptions_CreditAmount_not_null,n,"NOT NULL ""CreditAmount"""
public,BoothSubscriptions,BoothSubscriptions_EndDate_not_null,n,"NOT NULL ""EndDate"""
public,BoothSubscriptions,BoothSubscriptions_Id_not_null,n,"NOT NULL ""Id"""
public,BoothSubscriptions,BoothSubscriptions_PackageId_fkey,f,"FOREIGN KEY (""PackageId"") REFERENCES ""Package""(""Id"")"
public,BoothSubscriptions,BoothSubscriptions_PackageId_not_null,n,"NOT NULL ""PackageId"""
public,BoothSubscriptions,BoothSubscriptions_PaidAmount_not_null,n,"NOT NULL ""PaidAmount"""
public,BoothSubscriptions,BoothSubscriptions_StartDate_not_null,n,"NOT NULL ""StartDate"""
public,BoothSubscriptions,BoothSubscriptions_Status_not_null,n,"NOT NULL ""Status"""
public,BoothSubscriptions,BoothSubscriptions_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,BoothSubscriptions,BoothSubscriptions_pkey,p,"PRIMARY KEY (""Id"")"
public,Cart,Cart_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,Cart,Cart_CustomerId_fkey,f,"FOREIGN KEY (""CustomerId"") REFERENCES ""User""(""Id"")"
public,Cart,Cart_CustomerId_not_null,n,"NOT NULL ""CustomerId"""
public,Cart,Cart_Id_not_null,n,"NOT NULL ""Id"""
public,Cart,Cart_IsDeleted_not_null,n,"NOT NULL ""IsDeleted"""
public,Cart,Cart_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,Cart,Cart_pkey,p,"PRIMARY KEY (""Id"")"
public,CartItem,CartItem_CartId_fkey,f,"FOREIGN KEY (""CartId"") REFERENCES ""Cart""(""Id"")"
public,CartItem,CartItem_CartId_not_null,n,"NOT NULL ""CartId"""
public,CartItem,CartItem_CreatedAt_not_null,n,"NOT NULL ""CreatedAt"""
public,CartItem,CartItem_FoodItemId_fkey,f,"FOREIGN KEY (""FoodItemId"") REFERENCES ""FoodItem""(""Id"")"
public,CartItem,CartItem_FoodItemId_not_null,n,"NOT NULL ""FoodItemId"""
public,CartItem,CartItem_Id_not_null,n,"NOT NULL ""Id"""
public,CartItem,CartItem_IsDeleted_not_null,n,"NOT NULL ""IsDeleted"""
public,CartItem,CartItem_Quantity_not_null,n,"NOT NULL ""Quantity"""
public,CartItem,CartItem_UpdatedAt_not_null,n,"NOT NULL ""UpdatedAt"""
public,CartItem,CartItem_pkey,p,"PRIMARY KEY (""Id"")"
