schemaname,tablename,indexname,indexdef
public,AIRecommendationLog,AIRecommendationLog_pkey,"CREATE UNIQUE INDEX ""AIRecommendationLog_pkey"" ON public.""AIRecommendationLog"" USING btree (""Id"")"
public,AIRecommendationLog,idx_airecommendationlog_customer,"CREATE INDEX idx_airecommendationlog_customer ON public.""AIRecommendationLog"" USING btree (""CustomerId"")"
public,AIRecommendationLog,idx_airecommendationlog_nightmarket,"CREATE INDEX idx_airecommendationlog_nightmarket ON public.""AIRecommendationLog"" USING btree (""NightMarketId"")"
public,AIRecommendationLog,idx_airecommendationlog_type_created,"CREATE INDEX idx_airecommendationlog_type_created ON public.""AIRecommendationLog"" USING btree (""RecommendationType"", ""CreatedAt"")"
public,AiMealPlan,PK_AiMealPlan,"CREATE UNIQUE INDEX ""PK_AiMealPlan"" ON public.""AiMealPlan"" USING btree (""Id"")"
public,AiMealPlan,idx_aimealplan_market,"CREATE INDEX idx_aimealplan_market ON public.""AiMealPlan"" USING btree (""MarketId"")"
public,AiMealPlan,ux_aimealplan_session_code,"CREATE UNIQUE INDEX ux_aimealplan_session_code ON public.""AiMealPlan"" USING btree (""SessionId"", ""PlanCode"")"
public,AiMealPlanCartOperation,PK_AiMealPlanCartOperation,"CREATE UNIQUE INDEX ""PK_AiMealPlanCartOperation"" ON public.""AiMealPlanCartOperation"" USING btree (""Id"")"
public,AiMealPlanCartOperation,idx_aimealplancart_plan,"CREATE INDEX idx_aimealplancart_plan ON public.""AiMealPlanCartOperation"" USING btree (""PlanId"")"
public,AiMealPlanCartOperation,ux_aimealplancart_customer_key,"CREATE UNIQUE INDEX ux_aimealplancart_customer_key ON public.""AiMealPlanCartOperation"" USING btree (""CustomerId"", ""IdempotencyKey"")"
public,AiMealPlanItem,IX_AiMealPlanItem_BoothId,"CREATE INDEX ""IX_AiMealPlanItem_BoothId"" ON public.""AiMealPlanItem"" USING btree (""BoothId"")"
public,AiMealPlanItem,IX_AiMealPlanItem_FoodItemId,"CREATE INDEX ""IX_AiMealPlanItem_FoodItemId"" ON public.""AiMealPlanItem"" USING btree (""FoodItemId"")"
public,AiMealPlanItem,PK_AiMealPlanItem,"CREATE UNIQUE INDEX ""PK_AiMealPlanItem"" ON public.""AiMealPlanItem"" USING btree (""Id"")"
public,AiMealPlanItem,idx_aimealplanitem_plan,"CREATE INDEX idx_aimealplanitem_plan ON public.""AiMealPlanItem"" USING btree (""PlanId"")"
public,AiMealPlanItem,ux_aimealplanitem_active_food,"CREATE UNIQUE INDEX ux_aimealplanitem_active_food ON public.""AiMealPlanItem"" USING btree (""PlanId"", ""FoodItemId"") WHERE ((""IsRemoved"" = false) AND (""FoodItemId"" IS NOT NULL))"
public,AiMealPlanSession,PK_AiMealPlanSession,"CREATE UNIQUE INDEX ""PK_AiMealPlanSession"" ON public.""AiMealPlanSession"" USING btree (""Id"")"
public,AiMealPlanSession,idx_aimealplansession_customer_created,"CREATE INDEX idx_aimealplansession_customer_created ON public.""AiMealPlanSession"" USING btree (""CustomerId"", ""CreatedAt"")"
public,AiMealPlanSession,ux_aimealplansession_customer_idempotency,"CREATE UNIQUE INDEX ux_aimealplansession_customer_idempotency ON public.""AiMealPlanSession"" USING btree (""CustomerId"", ""IdempotencyKey"") WHERE ((""CustomerId"" IS NOT NULL) AND (""IdempotencyKey"" IS NOT NULL))"
public,AiRecommendationFeedback,IX_AiRecommendationFeedback_FoodItemId,"CREATE INDEX ""IX_AiRecommendationFeedback_FoodItemId"" ON public.""AiRecommendationFeedback"" USING btree (""FoodItemId"")"
public,AiRecommendationFeedback,PK_AiRecommendationFeedback,"CREATE UNIQUE INDEX ""PK_AiRecommendationFeedback"" ON public.""AiRecommendationFeedback"" USING btree (""Id"")"
public,AiRecommendationFeedback,idx_airecommendationfeedback_session,"CREATE INDEX idx_airecommendationfeedback_session ON public.""AiRecommendationFeedback"" USING btree (""SessionId"")"
public,AiRecommendationFeedback,ux_airecommendationfeedback_state,"CREATE UNIQUE INDEX ux_airecommendationfeedback_state ON public.""AiRecommendationFeedback"" USING btree (""SessionId"", ""FoodItemId"") WHERE ((""FoodItemId"" IS NOT NULL) AND ((""Action"")::text = ANY ((ARRAY['LIKED'::character varying, 'DISLIKED'::character varying])::text[])))"
public,AiRecommendationResult,IX_AiRecommendationResult_FoodItemId,"CREATE INDEX ""IX_AiRecommendationResult_FoodItemId"" ON public.""AiRecommendationResult"" USING btree (""FoodItemId"")"
public,AiRecommendationResult,PK_AiRecommendationResult,"CREATE UNIQUE INDEX ""PK_AiRecommendationResult"" ON public.""AiRecommendationResult"" USING btree (""SessionId"", ""FoodItemId"")"
public,AiRecommendationResult,ux_airecommendationresult_session_rank,"CREATE UNIQUE INDEX ux_airecommendationresult_session_rank ON public.""AiRecommendationResult"" USING btree (""SessionId"", ""Rank"")"
public,AiRecommendationSession,PK_AiRecommendationSession,"CREATE UNIQUE INDEX ""PK_AiRecommendationSession"" ON public.""AiRecommendationSession"" USING btree (""Id"")"
public,AiRecommendationSession,idx_airecommendationsession_customer_created,"CREATE INDEX idx_airecommendationsession_customer_created ON public.""AiRecommendationSession"" USING btree (""CustomerId"", ""CreatedAt"")"
public,Allergen,Allergen_pkey,"CREATE UNIQUE INDEX ""Allergen_pkey"" ON public.""Allergen"" USING btree (""Id"")"
public,Allergen,ux_allergen_code,"CREATE UNIQUE INDEX ux_allergen_code ON public.""Allergen"" USING btree (""Code"")"
public,Booth,Booth_pkey,"CREATE UNIQUE INDEX ""Booth_pkey"" ON public.""Booth"" USING btree (""Id"")"
public,Booth,IX_Booth_RegistrationId,"CREATE INDEX ""IX_Booth_RegistrationId"" ON public.""Booth"" USING btree (""RegistrationId"")"
public,Booth,IX_Booth_ZoneId,"CREATE INDEX ""IX_Booth_ZoneId"" ON public.""Booth"" USING btree (""ZoneId"")"
public,Booth,idx_booth_nightmarket,"CREATE INDEX idx_booth_nightmarket ON public.""Booth"" USING btree (""NightMarketId"")"
public,Booth,uq_booth_owner,"CREATE UNIQUE INDEX uq_booth_owner ON public.""Booth"" USING btree (""BoothOwnerId"")"
public,BoothDocuments,BoothDocuments_pkey,"CREATE UNIQUE INDEX ""BoothDocuments_pkey"" ON public.""BoothDocuments"" USING btree (""Id"")"
public,BoothDocuments,IX_BoothDocuments_BoothId,"CREATE INDEX ""IX_BoothDocuments_BoothId"" ON public.""BoothDocuments"" USING btree (""BoothId"")"
public,BoothDocuments,IX_BoothDocuments_RegistrationId,"CREATE INDEX ""IX_BoothDocuments_RegistrationId"" ON public.""BoothDocuments"" USING btree (""RegistrationId"")"
public,BoothImages,BoothImages_pkey,"CREATE UNIQUE INDEX ""BoothImages_pkey"" ON public.""BoothImages"" USING btree (""Id"")"
public,BoothImages,IX_BoothImages_BoothId,"CREATE INDEX ""IX_BoothImages_BoothId"" ON public.""BoothImages"" USING btree (""BoothId"")"
public,BoothLocations,BoothLocations_pkey,"CREATE UNIQUE INDEX ""BoothLocations_pkey"" ON public.""BoothLocations"" USING btree (""Id"")"
public,BoothLocations,IX_BoothLocations_LayoutId,"CREATE INDEX ""IX_BoothLocations_LayoutId"" ON public.""BoothLocations"" USING btree (""LayoutId"")"
public,BoothLocations,IX_BoothLocations_ZoneId,"CREATE INDEX ""IX_BoothLocations_ZoneId"" ON public.""BoothLocations"" USING btree (""ZoneId"")"
public,BoothLocations,ux_boothlocation_active_booth,"CREATE UNIQUE INDEX ux_boothlocation_active_booth ON public.""BoothLocations"" USING btree (""BoothId"") WHERE (""IsDeleted"" = false)"
public,BoothLocations,ux_boothlocation_active_node,"CREATE UNIQUE INDEX ux_boothlocation_active_node ON public.""BoothLocations"" USING btree (""LayoutNodeId"") WHERE (""IsDeleted"" = false)"
public,BoothPaymentInfos,BoothPaymentInfos_pkey,"CREATE UNIQUE INDEX ""BoothPaymentInfos_pkey"" ON public.""BoothPaymentInfos"" USING btree (""Id"")"
public,BoothPaymentInfos,IX_BoothPaymentInfos_BoothId,"CREATE INDEX ""IX_BoothPaymentInfos_BoothId"" ON public.""BoothPaymentInfos"" USING btree (""BoothId"")"
public,BoothRegistrations,IX_BoothRegistrations_BoothId,"CREATE INDEX ""IX_BoothRegistrations_BoothId"" ON public.""BoothRegistrations"" USING btree (""BoothId"")"
public,BoothRegistrations,IX_BoothRegistrations_PreferredLayoutNodeId,"CREATE INDEX ""IX_BoothRegistrations_PreferredLayoutNodeId"" ON public.""BoothRegistrations"" USING btree (""PreferredLayoutNodeId"")"
public,BoothRegistrations,IX_BoothRegistrations_PreferredZoneId,"CREATE INDEX ""IX_BoothRegistrations_PreferredZoneId"" ON public.""BoothRegistrations"" USING btree (""PreferredZoneId"")"
public,BoothRegistrations,IX_BoothRegistrations_RequestedNightMarketId,"CREATE INDEX ""IX_BoothRegistrations_RequestedNightMarketId"" ON public.""BoothRegistrations"" USING btree (""RequestedNightMarketId"")"
public,BoothRegistrations,PK_BoothRegistrations,"CREATE UNIQUE INDEX ""PK_BoothRegistrations"" ON public.""BoothRegistrations"" USING btree (""Id"")"
public,BoothRegistrations,uq_pending_booth_registration_owner,"CREATE UNIQUE INDEX uq_pending_booth_registration_owner ON public.""BoothRegistrations"" USING btree (""OwnerId"") WHERE (""Status"" = 1)"
public,BoothSubscriptions,BoothSubscriptions_pkey,"CREATE UNIQUE INDEX ""BoothSubscriptions_pkey"" ON public.""BoothSubscriptions"" USING btree (""Id"")"
public,BoothSubscriptions,IX_BoothSubscriptions_BoothId,"CREATE INDEX ""IX_BoothSubscriptions_BoothId"" ON public.""BoothSubscriptions"" USING btree (""BoothId"")"
public,BoothSubscriptions,IX_BoothSubscriptions_BoothId_Active,"CREATE UNIQUE INDEX ""IX_BoothSubscriptions_BoothId_Active"" ON public.""BoothSubscriptions"" USING btree (""BoothId"") WHERE ((""Status"")::text = 'Active'::text)"
public,BoothSubscriptions,IX_BoothSubscriptions_BoothId_PendingPayment,"CREATE UNIQUE INDEX ""IX_BoothSubscriptions_BoothId_PendingPayment"" ON public.""BoothSubscriptions"" USING btree (""BoothId"") WHERE ((""Status"")::text = 'PendingPayment'::text)"
public,BoothSubscriptions,IX_BoothSubscriptions_PackageId,"CREATE INDEX ""IX_BoothSubscriptions_PackageId"" ON public.""BoothSubscriptions"" USING btree (""PackageId"")"
public,BoothSubscriptions,IX_BoothSubscriptions_PayOSOrderCode,"CREATE UNIQUE INDEX ""IX_BoothSubscriptions_PayOSOrderCode"" ON public.""BoothSubscriptions"" USING btree (""PayOSOrderCode"") WHERE (""PayOSOrderCode"" IS NOT NULL)"
public,Cart,Cart_pkey,"CREATE UNIQUE INDEX ""Cart_pkey"" ON public.""Cart"" USING btree (""Id"")"
public,Cart,ux_cart_active_customer,"CREATE UNIQUE INDEX ux_cart_active_customer ON public.""Cart"" USING btree (""CustomerId"") WHERE (""IsDeleted"" = false)"
public,CartItem,CartItem_pkey,"CREATE UNIQUE INDEX ""CartItem_pkey"" ON public.""CartItem"" USING btree (""Id"")"
public,CartItem,idx_cartitem_cart,"CREATE INDEX idx_cartitem_cart ON public.""CartItem"" USING btree (""CartId"")"
public,CartItem,idx_cartitem_fooditem,"CREATE INDEX idx_cartitem_fooditem ON public.""CartItem"" USING btree (""FoodItemId"")"
public,CartItem,ux_cartitem_active_food,"CREATE UNIQUE INDEX ux_cartitem_active_food ON public.""CartItem"" USING btree (""CartId"", ""FoodItemId"") WHERE (""IsDeleted"" = false)"
public,ComplaintImages,ComplaintImages_pkey,"CREATE UNIQUE INDEX ""ComplaintImages_pkey"" ON public.""ComplaintImages"" USING btree (""Id"")"
public,ComplaintImages,IX_ComplaintImages_ComplaintId,"CREATE INDEX ""IX_ComplaintImages_ComplaintId"" ON public.""ComplaintImages"" USING btree (""ComplaintId"")"
public,Complaints,Complaints_pkey,"CREATE UNIQUE INDEX ""Complaints_pkey"" ON public.""Complaints"" USING btree (""Id"")"
public,Complaints,IX_Complaints_BoothId,"CREATE INDEX ""IX_Complaints_BoothId"" ON public.""Complaints"" USING btree (""BoothId"")"
public,Complaints,IX_Complaints_OrderId,"CREATE INDEX ""IX_Complaints_OrderId"" ON public.""Complaints"" USING btree (""OrderId"")"
public,Complaints,idx_complaint_customer_created,"CREATE INDEX idx_complaint_customer_created ON public.""Complaints"" USING btree (""CustomerId"", ""CreatedAt"" DESC)"
public,Complaints,uq_complaint_active_customer_order_booth,"CREATE UNIQUE INDEX uq_complaint_active_customer_order_booth ON public.""Complaints"" USING btree (""CustomerId"", ""OrderId"", ""BoothId"") WHERE ((""Status"")::text = 'Pending'::text)"
public,Conversations,Conversations_pkey,"CREATE UNIQUE INDEX ""Conversations_pkey"" ON public.""Conversations"" USING btree (""Id"")"
public,Conversations,IX_Conversations_LastMessageId,"CREATE INDEX ""IX_Conversations_LastMessageId"" ON public.""Conversations"" USING btree (""LastMessageId"")"
public,Conversations,idx_conversation_booth_last_message,"CREATE INDEX idx_conversation_booth_last_message ON public.""Conversations"" USING btree (""BoothId"", ""LastMessageAt"")"
public,Conversations,idx_conversation_customer_last_message,"CREATE INDEX idx_conversation_customer_last_message ON public.""Conversations"" USING btree (""CustomerId"", ""LastMessageAt"")"
public,Conversations,idx_conversation_last_message,"CREATE INDEX idx_conversation_last_message ON public.""Conversations"" USING btree (""LastMessageAt"")"
public,Conversations,uq_conversation_customer_booth,"CREATE UNIQUE INDEX uq_conversation_customer_booth ON public.""Conversations"" USING btree (""CustomerId"", ""BoothId"")"
public,CustomerAllergenExclusion,IX_CustomerAllergenExclusion_AllergenId,"CREATE INDEX ""IX_CustomerAllergenExclusion_AllergenId"" ON public.""CustomerAllergenExclusion"" USING btree (""AllergenId"")"
public,CustomerAllergenExclusion,PK_CustomerAllergenExclusion,"CREATE UNIQUE INDEX ""PK_CustomerAllergenExclusion"" ON public.""CustomerAllergenExclusion"" USING btree (""CustomerId"", ""AllergenId"")"
public,CustomerAvoidedIngredient,IX_CustomerAvoidedIngredient_IngredientId,"CREATE INDEX ""IX_CustomerAvoidedIngredient_IngredientId"" ON public.""CustomerAvoidedIngredient"" USING btree (""IngredientId"")"
public,CustomerAvoidedIngredient,PK_CustomerAvoidedIngredient,"CREATE UNIQUE INDEX ""PK_CustomerAvoidedIngredient"" ON public.""CustomerAvoidedIngredient"" USING btree (""CustomerId"", ""IngredientId"")"
public,CustomerAvoidedTasteProfile,IX_CustomerAvoidedTasteProfile_TasteProfileId,"CREATE INDEX ""IX_CustomerAvoidedTasteProfile_TasteProfileId"" ON public.""CustomerAvoidedTasteProfile"" USING btree (""TasteProfileId"")"
public,CustomerAvoidedTasteProfile,PK_CustomerAvoidedTasteProfile,"CREATE UNIQUE INDEX ""PK_CustomerAvoidedTasteProfile"" ON public.""CustomerAvoidedTasteProfile"" USING btree (""CustomerId"", ""TasteProfileId"")"
public,CustomerDietaryRequirement,IX_CustomerDietaryRequirement_DietaryAttributeId,"CREATE INDEX ""IX_CustomerDietaryRequirement_DietaryAttributeId"" ON public.""CustomerDietaryRequirement"" USING btree (""DietaryAttributeId"")"
public,CustomerDietaryRequirement,PK_CustomerDietaryRequirement,"CREATE UNIQUE INDEX ""PK_CustomerDietaryRequirement"" ON public.""CustomerDietaryRequirement"" USING btree (""CustomerId"", ""DietaryAttributeId"")"
public,CustomerFoodProfile,PK_CustomerFoodProfile,"CREATE UNIQUE INDEX ""PK_CustomerFoodProfile"" ON public.""CustomerFoodProfile"" USING btree (""CustomerId"")"
public,CustomerPreference,CustomerPreference_pkey,"CREATE UNIQUE INDEX ""CustomerPreference_pkey"" ON public.""CustomerPreference"" USING btree (""Id"")"
public,CustomerPreference,idx_customerpreference_customer,"CREATE INDEX idx_customerpreference_customer ON public.""CustomerPreference"" USING btree (""CustomerId"")"
public,CustomerPreference,idx_customerpreference_foodtag,"CREATE INDEX idx_customerpreference_foodtag ON public.""CustomerPreference"" USING btree (""FoodTagId"")"
public,CustomerPreference,ux_customerpreference_tag_kind,"CREATE UNIQUE INDEX ux_customerpreference_tag_kind ON public.""CustomerPreference"" USING btree (""CustomerId"", ""FoodTagId"", ""PreferenceKind"")"
public,CustomerPreferredCourse,PK_CustomerPreferredCourse,"CREATE UNIQUE INDEX ""PK_CustomerPreferredCourse"" ON public.""CustomerPreferredCourse"" USING btree (""CustomerId"", ""Course"")"
public,CustomerPreferredDiningPurpose,PK_CustomerPreferredDiningPurpose,"CREATE UNIQUE INDEX ""PK_CustomerPreferredDiningPurpose"" ON public.""CustomerPreferredDiningPurpose"" USING btree (""CustomerId"", ""Purpose"")"
public,CustomerPreferredIngredient,IX_CustomerPreferredIngredient_IngredientId,"CREATE INDEX ""IX_CustomerPreferredIngredient_IngredientId"" ON public.""CustomerPreferredIngredient"" USING btree (""IngredientId"")"
public,CustomerPreferredIngredient,PK_CustomerPreferredIngredient,"CREATE UNIQUE INDEX ""PK_CustomerPreferredIngredient"" ON public.""CustomerPreferredIngredient"" USING btree (""CustomerId"", ""IngredientId"")"
public,CustomerPreferredPreparationMethod,IX_CustomerPreferredPreparationMethod_PreparationMethodId,"CREATE INDEX ""IX_CustomerPreferredPreparationMethod_PreparationMethodId"" ON public.""CustomerPreferredPreparationMethod"" USING btree (""PreparationMethodId"")"
public,CustomerPreferredPreparationMethod,PK_CustomerPreferredPreparationMethod,"CREATE UNIQUE INDEX ""PK_CustomerPreferredPreparationMethod"" ON public.""CustomerPreferredPreparationMethod"" USING btree (""CustomerId"", ""PreparationMethodId"")"
public,CustomerPreferredTasteProfile,IX_CustomerPreferredTasteProfile_TasteProfileId,"CREATE INDEX ""IX_CustomerPreferredTasteProfile_TasteProfileId"" ON public.""CustomerPreferredTasteProfile"" USING btree (""TasteProfileId"")"
